x,y,z
235.974,3.52956,0
234.95,4.86621,0
236.842,8.65519,0
1322.03,125.731,0
1309.35,132.129,0
1306.58,139.447,0
1307.74,147.184,0
1308.92,154.437,0
1308.01,161.964,0
1307.06,169.486,0
1308.04,177.27,0
1309.03,184.695,0
1307.97,192.097,0
1310.8,200.222,0
1309.62,207.759,0
1310.44,215.236,0
1313.15,223.316,0
1315.78,231.559,0
1312.46,238.767,0
1309.1,245.943,0
1311.69,253.728,0
1314.13,262.051,0
1314.56,270.008,0
1316.9,278.393,0
1319.26,286.434,0
1315.67,293.457,0
1312.01,300.573,0
1316.1,309.489,0
1314.39,316.677,0
1310.64,323.627,0
1312.63,332.142,0
1314.57,340.691,0
1314.62,348.382,0
1314.56,356.336,0
1314.42,364.426,0
1316.54,371.684,0
1316.34,379.679,0
1317.97,388.376,0
1317.74,396.148,0
1317.35,404.309,0
1316.95,412.351,0
1308.84,418.094,0
1336.34,443.458,0
1318.65,445.885,0
1319.85,454.766,0
1319.23,462.634,0
1318.43,470.887,0
1317.58,479.147,0
1318.6,487.981,0
1317.64,496.263,0
1324.25,507.032,0
1323.18,515.367,0
1322.1,523.58,0
1322.78,532.67,0
1323.55,541.405,0
1324.11,550.546,0
1322.81,558.805,0
1323.25,567.983,0
1325.63,577.602,0
1326.45,585.693,0
1325.05,593.751,0
1325.26,603.02,0
1323.58,611.472,0
1325.53,621.496,0
1323.92,629.59,0
1325.68,639.803,0
1327.37,650.057,0
1327.25,659.334,0
1327.01,668.759,0
1326.9,677.82,0
1328.3,688.202,0
1329.64,698.622,0
1330.96,708.953,0
1332.34,719.065,0
1329.94,727.678,0
1330.98,738.226,0
1332.01,748.683,0
1334.85,759.909,0
1332.86,767.425,0
1332.1,776.712,0
1332.77,787.414,0
1331.65,797.122,0
1333.89,808.917,0
1334.4,819.589,0
1336.7,831.093,0
1340.36,844.098,0
1342.22,856.096,0
1339.04,864.76,0
1335.97,873.158,0
1337.59,885.244,0
1340.79,898.491,0
1340.65,909.429,0
1340.61,920.137,0
1340.22,931.257,0
1342.47,942.01,0
1340.29,952.033,0
1339.66,963.23,0
1342.18,976.805,0
1343.27,988.868,0
1340.86,998.84,0
1343.08,1012.56,0
1345.18,1026.33,0
1344.1,1037.59,0
1346.29,1051.07,0
1348.07,1065,0
1348.17,1077.73,0
1349.73,1091.76,0
1350.04,1104.05,0
1351.37,1118.18,0
1353.78,1130.92,0
1350.41,1141.15,0
1352.95,1156.69,0
1353.83,1171,0
1353.44,1183.65,0
1352.71,1196.58,0
1356.24,1213.68,0
1358.13,1229.52,0
1356.93,1242.71,0
1359.05,1258.13,0
1360.55,1274.13,0
1357.55,1286.06,0
1357.35,1300.77,0
1359.98,1315.34,0
1359.54,1330.14,0
1363.62,1348.8,0
1364.45,1364.98,0
1362.2,1378.49,0
1364.03,1396.32,0
1368.89,1416.7,0
1369.14,1433.1,0
1365,1445.31,0
1362.12,1458.99,0
1360.49,1474.15,0
1363.2,1493.38,0
1366.79,1514.43,0
1367.66,1529.78,0
1372.23,1552.47,0
1371.17,1569.38,0
1369.96,1586.32,0
1369.07,1602.91,0
1370.3,1622.85,0
1371.19,1642.99,0
1371.9,1663.2,0
1375.43,1686.17,0
1378.26,1709.62,0
1376.05,1726.77,0
1375.99,1747.23,0
1380.24,1769.31,0
